# file=UPS 335 단독_V6.4_작화 데이터 정리(20140228).xls sheet=사용중인 전체 메모리번지 정리(최종) rows=367
234		MB	259	3x_Bit	2509	충전부 설정이상 팝업 트리거 비트	충전부 설정이상 팝업 Trig bit	20130305 번지 수정됨
235		MB	25A	3x_Bit	2510	정밀 점검 메시지 팝업 트리거 비트	정밀 점검 팝업 Trig bit
236		MB	25B	3x_Bit	2511
237		MB	25C	3x_Bit	2512
238		MB	25D	3x_Bit	2513
239		MB	25E	3x_Bit	2514
240		MB	25F	3x_Bit	2515
241	MW26	MB	260	3x_Bit	2600	자동운전 중 충전기 운전 정상	0: 운전 수행 안됨, 1: 정상 표시 및  축전지 NFB 진행 표시
242		MB	261	3x_Bit	2601	자동운전 중 축전지 NFB 닫힘	0: 운전 수행 안됨, 1: 열림 표시 및  인버터 운전 진행 표시
243		MB	262	3x_Bit	2602	자동운전 중 인버터 운전 정상	0: 운전 수행 안됨, 1: 정상 표시 및 절환 진행 표시
244		MB	263	3x_Bit	2603	자동운전 중 절환 정상	0: 운전 수행 안됨, 1: 정상 표시 및  축전지 NFB 진행 표시
245		MB	264	3x_Bit	2604	자동운전 중 충전기 운전 장애	0: 충전기 운전 정상 수행, 1: 충전기 운전 장애 발생표시 및 안내에따라 알람 창으로 이동.
246		MB	265	3x_Bit	2605	자동운전 중 축전지 NFB 열림	0: 충전기 운전 정상 수행, 1: 닫힘 표시 및 안내에따라 알람 창으로 이동.
247		MB	266	3x_Bit	2606	자동운전 중 인버터 운전 장애	0: 충전기 운전 정상 수행, 1: 인버터운전 장애 발생표시 및 안내에따라 알람 창으로 이동.
248		MB	267	3x_Bit	2607	자동운전 중 절환 장애 표시	0: 충전기 운전 정상 수행, 1: 충전기 운전 장애 발생표시 및 안내에따라 알람 창으로 이동.
249		MB	268	3x_Bit	2608
250		MB	269	3x_Bit	2609
251		MB	26A	3x_Bit	2610
252		MB	26B	3x_Bit	2611
253		MB	26C	3x_Bit	2612
254		MB	26D	3x_Bit	2613
255		MB	26E	3x_Bit	2614
256		MB	26F	3x_Bit	2615
257	MW27	MW	27	3x	27	입력 R상 전압 계측값	###[V]
258	MW28	MW	28	3x	28	입력 S상 전압 계측값	###[V]
259	MW29	MW	29	3x	29	입력 T상 전압 계측값	###[V]
260	MW30	MW	30	3x	30	입력 R상 전류 계측값	###[A]
261	MW31	MW	31	3x	31	입력 S상 전류 계측값	###[A]
262	MW32	MW	32	3x	32	입력 T상 전류 계측값	###[A]
263	MW33	MW	33	3x	33	입력 주파수	##.#[Hz]
264	MW34	MW	34	3x	34	바이패스 R상 전압
265	MW35	MW	35	3x	35	바이패스 S상 전압
266	MW36	MW	36	3x	36	바이패스 T상 전압
267	MW37	MW	37	3x	37	바이패스 R상 전류
268	MW38	MW	38	3x	38	바이패스 S상 전류
269	MW39	MW	39	3x	39	바이패스 T상 전류
270	MW40	MW	40	3x	40	바이패스 주파수	##.#[Hz]
271	MW41	MW	41	3x	41	인버터 R상 전압 계측값	###[V]
272	MW42	MW	42	3x	42	인버터 S상 전압 계측값	###[V]
